ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
387;Poço Escavado-Cacimba;4.00;;;;;;;Sem filtro;;;
388;Poço Escavado-Cacimba;4.00;;;;;;;Sem filtro;;;
389;Poço Escavado-Cacimba;6.00;;;;;;;Sem filtro;;;
390;Poço Escavado-Cacimba;6.00;;;;;;;Sem filtro;;;
391;Poço Escavado-Cacimba;6.00;;;;;;;Sem filtro;;;
392;;;;;;;;;Sem filtro;;;
393;;;;;;;;;Sem filtro;;;
394;;;;;;;;;Sem filtro;;;
395;;;;;;;;;Sem filtro;;;
396;Poço Escavado-Cacimba;2.00;;;;;;;Sem filtro;;;
397;Poço Escavado-Cacimba;8.00;;;;;;;Sem filtro;;;
398;;;;;;;;;Sem filtro;;;
399;Poço Escavado-Cacimba;6.00;;;;;;;Sem filtro;;;
400;;;;;;;;;Sem filtro;;;
401;Poço Escavado-Cacimba;10.00;1.5;2.00;;;;;Sem filtro;;;
402;Poço Escavado-Cacimba;8.00;;1.00;;;;;Sem filtro;;;
403;;;;;;;;;Sem filtro;;;
404;Poço Escavado-Cacimba;13.00;1.5;2.00;;;;;Sem filtro;;;
405;;;;;;;;;Sem filtro;;;
406;;;;;;;;;Sem filtro;;;
407;Poço Escavado-Cacimba;13.00;1.00;1.5;;;;;Sem filtro;;;
408;Poço Escavado-Cacimba;8.00;;;;;;;Sem filtro;;;
409;Poço Escavado-Cacimba;9.00;;3.00;;;;;Sem filtro;;;
410;;;;;;;;;Sem filtro;;;
411;Poço Escavado-Cacimba;5.00;;;;;;;Sem filtro;;;
412;;;;;;;;;Sem filtro;;;
413;;;;;;;;;Sem filtro;;;
414;;;;;;;;;Sem filtro;;;
415;;;;;;;;;Sem filtro;;;
416;;;;;;;;;Sem filtro;;;
417;;;;;;;;;Sem filtro;;;
418;;;;;;;;;Sem filtro;;;
419;;;;;;;;;Sem filtro;;;
420;;;;;;;;;Sem filtro;;;
421;;;;;;;;;Sem filtro;;;
422;;;;;;;;;Sem filtro;;;
423;;;;;;;;;Sem filtro;;;
424;;;;;;;;;Sem filtro;;;
425;;;;;;;;;Sem filtro;;;
426;Poço Escavado-Cacimba;8.00;;;;;;;Sem filtro;;;
427;;;;;;;;;Sem filtro;;;
428;Poço Escavado-Cacimba;8.00;;;;;;;Sem filtro;;;
429;;;;;;;;;Sem filtro;;;
