USOS;H0320;H0321;H0322;H0323
1452;;;;4000.00
1453;;;;3500.00
1454;;;;4000.00
1455;;;;3000.00
1456;;;;4000.00
1457;;;;2500.00
1458;;;;25000.00
1459;;;;2000.00
1460;;;;17000.00
1461;;;;3000.00
1462;;;;2000.00
1463;;;;2500.00
1464;;;;6000.00
1465;;;;13000.00
1466;;;;5000.00
1467;;;;4000.00
1468;;;;30000.00
1469;;;;30000.00
1470;;;;2000.00
1471;;;;20000.00
1472;;;;6300.00
1473;;;;9000.00
1474;;;;4500.00
1475;;;;8000.00
1476;;;;5200.00
1477;;;;7000.00
1478;;;;6000.00
1479;;;;2000.00
1480;;;;1500.00
1481;;;;5500.00
1482;;;;40000.00
1483;;;;200000.00
1484;;;;4000.00
1485;;;;4500.00
1486;;;;4000.00
1487;;;;1200.00
1488;;;;12000.00
1489;;;;20000.00
1490;;;;300000.00
1491;;;;200000.00
1492;;;;200000.00
1493;;;;26000.00
1494;;;;10000.00
1495;;;;50000.00
1496;;;;200000.00
1497;;;;4000.00
1498;;;;73000.00
1499;;;;70000.00
1500;;;;42000.00
1501;;;;20000.00
1502;;;;42000.00
1503;;;;52000.00
1504;;;;20000.00
1505;;;;52000.00
1506;;;;83000.00
1507;;;;50800.00
1508;;;;76480.00
1509;;;;30000.00
1510;;;;14000.00
1511;;;;114600.00
1512;;;;23000.00
1513;;;;113400.00
1514;;;;68000.00
1515;;;;20000.00
1516;;;;8000.00
